Criptomoeda,Data,Abertura,Máximo,Mínimo,Fechamento,Variação Diária %,Volatilidade Diária %,Preço Médio,Média Móvel de 7 Dias,Média Móvel de 30 Dias,Dia de Ganho,Dia de Perda
BTC,2018-01-01 00:00:00,13996.0,14035.0,12860.0,13535.0,-3.2937982280651616,8.39525578736782,13606.5,,,0,1
BTC,2018-01-02 00:00:00,13535.0,15217.0,12956.0,14770.0,9.124492057628371,16.704839305504247,14119.5,,,1,0
BTC,2018-01-03 00:00:00,14770.0,15394.0,14589.0,15057.0,1.943127962085308,5.450236966824645,14952.5,,,1,0
BTC,2018-01-04 00:00:00,15057.0,15395.0,14225.0,14921.0,-0.9032343760377234,7.770472205618649,14899.5,,,0,1
BTC,2018-01-05 00:00:00,14921.0,16909.0,14817.0,16828.0,12.78064472890557,14.02050800884659,15868.75,,,1,0
BTC,2018-01-06 00:00:00,16765.0,17118.0,16255.0,16849.0,0.5010438413361169,5.1476289889651055,16746.75,,,1,0
BTC,2018-01-07 00:00:00,16849.0,17212.0,15770.0,16183.0,-3.952756840168556,8.558371416701288,16503.5,15449.0,,0,1
BTC,2018-01-08 00:00:00,16183.0,16466.0,13958.0,14901.0,-7.921893344868071,15.497744546746587,15377.0,15644.142857142857,,0,1
BTC,2018-01-09 00:00:00,14915.0,15360.0,14170.0,14548.0,-2.4606101240362053,7.978545088836741,14748.25,15612.42857142857,,0,1
BTC,2018-01-10 00:00:00,14544.0,14694.0,13456.0,14482.0,-0.4262926292629263,8.512101210121012,14294.0,15530.285714285714,,0,1
BTC,2018-01-11 00:00:00,14482.0,14943.0,12846.0,13445.0,-7.160613174975832,14.48004419279105,13929.0,15319.42857142857,,0,1
BTC,2018-01-12 00:00:00,13445.0,14095.0,12879.0,13695.0,1.859427296392711,9.044254369654146,13528.5,14871.857142857143,,1,0
BTC,2018-01-13 00:00:00,13744.0,14537.0,13599.0,14167.0,3.077706635622817,6.824796274738068,14011.75,14488.714285714286,,1,0
BTC,2018-01-14 00:00:00,14173.0,14353.0,13052.0,13394.0,-5.496366330346433,9.17942566852466,13743.0,14090.285714285714,,0,1
BTC,2018-01-15 00:00:00,13378.0,14308.0,13378.0,13919.0,4.04395275825983,6.951711765585289,13745.75,13950.0,,1,0
BTC,2018-01-16 00:00:00,13919.0,13919.0,10352.0,10617.0,-23.722968604066384,25.62684100869315,12201.75,13388.42857142857,,0,1
BTC,2018-01-17 00:00:00,10617.0,11751.0,9200.0,11378.0,7.16774983517001,24.02750306112838,10736.5,12945.0,,1,0
BTC,2018-01-18 00:00:00,11378.0,12045.0,10664.0,11541.0,1.432589207242046,12.1374582527685,11407.0,12673.0,,1,0
BTC,2018-01-19 00:00:00,11551.0,11955.0,10989.0,11296.0,-2.20760107350013,8.362912301965197,11447.75,12330.285714285714,,0,1
BTC,2018-01-20 00:00:00,11343.0,13007.0,11245.0,12904.0,13.761791413206383,15.533809397866523,12124.75,12149.857142857143,,1,0
BTC,2018-01-21 00:00:00,12904.0,12947.0,11096.0,11348.0,-12.058276503409795,14.344389336639802,12073.75,11857.57142857143,,0,1
BTC,2018-01-22 00:00:00,11348.0,11869.0,10051.0,10264.0,-9.552344025378922,16.020444131124428,10883.0,11335.42857142857,,0,1
BTC,2018-01-23 00:00:00,10264.0,11358.0,9972.0,10984.0,7.01480904130943,13.503507404520654,10644.5,11387.857142857143,,1,0
BTC,2018-01-24 00:00:00,10986.0,11474.0,10497.0,11208.0,2.020753686510104,8.893136719461133,11041.25,11363.57142857143,,1,0
BTC,2018-01-25 00:00:00,11213.0,11711.0,10889.0,11246.0,0.2943012574690092,7.33077677695532,11264.75,11321.42857142857,,1,0
BTC,2018-01-26 00:00:00,11241.0,11609.0,10321.0,10899.0,-3.042433947157726,11.458055333155412,11017.5,11264.714285714286,,0,1
BTC,2018-01-27 00:00:00,10899.0,11574.0,10773.0,11554.0,6.009725662904854,7.349298100743187,11200.0,11071.857142857143,,1,0
BTC,2018-01-28 00:00:00,11554.0,11942.0,11317.0,11757.0,1.756967284057469,5.409382032196642,11642.5,11130.285714285714,,1,0
